Able Communications,5001978,No,Demo,VSAT Terminal Standard,4013050000000,Audio codes DT1117288  switch RMT00K308926 144109481119,2011-03-14,,0.00,
Able Communications,5001978,No,Demo,VSAT Dish, KVH V7,4043050000000,ups 17Aospd00049 VSAT-5014,2011-03-14,,0.00,
Able Communications,5001978,No,Demo,Space Segment 128/128,4013050000000,,2011-03-14,,0.00,
Adriatic Marine,5001992,Yes,Mediteranean,Satellite Phone, Irridium-TM,4043055000000,4807685704,2011-03-01,,55.00,Month
Adriatic Marine,5001992,Yes,Mediteranean,Oceans mail-TM,4043055000000,mediterranean@oceans.net Renewal 11/11,2011-11-01,,400.00,Yearly
Adriatic Marine,5001993,Yes,MV Aegean,Oceans mail-TM,4043055000000,aegean@oceans.net Renewal 11/11,2011-11-01,,400.00,Yearly
Adriatic Marine,5001993,Yes,MV Aegean,Satellite Phone, Irridium-TM,4043055000000,4802637764,2011-03-01,,55.00,Month
Adriatic Marine,5001994,Yes,MV Adriatic,Satellite Phone, Irridium-TM,4043055000000,4804563171,2011-03-01,,55.00,Month
Adriatic Marine,5001994,Yes,MV Adriatic,Oceans mail-TM,4043055000000,adriatic@oceans.mail Renewal 10/11,2011-10-01,,400.00,Yearly
Adriatic Marine,5001995,Yes,MV Arctic,Oceans mail-TM,4043055000000,arctic@oceans.mail Renewal 12/11,2011-12-01,,400.00,Yearly
Adriatic Marine,5001995,Yes,MV Arctic,Satellite Phone, Irridium-TM,4043055000000,4807686335,2011-03-01,,55.00,Month
Adriatic Marine,5001996,Yes,MV Caspian,Oceans mail-TM,4043055000000,caspian@oceans.net Renewal 6/11,2011-06-01,,400.00,Yearly
Adriatic Marine,5001996,Yes,MV Caspian,Satellite Phone, Irridium-TM,4043055000000,4802637072,2011-03-01,,55.00,Month
Adriatic Marine,5001997,Yes,All boats,Phone Number, Iridium-TM,4045055000050,4802636002,2011-03-01,,55.00,Month
Adriatic Marine,5002226,Yes,MV UnReel,Phone Number, Iridium,4045050000050,1.50/minute Data= 765079319,2011-04-29,,1.50,Minute
Adriatic Marine,5002226,Yes,MV UnReel,Phone Number, Iridium,4045050000050,1.50/minute Fax= 765079318,2011-04-29,,1.50,Minute
Adriatic Marine,5002226,Yes,MV UnReel,Phone Number, Iridium,4045050000050,1.50/minute V2= 765079317,2011-04-29,,1.50,Minute
Adriatic Marine,5002226,Yes,MV UnReel,Phone Number, Iridium,4045050000050,1.50/minute V1= 765079316,2011-04-29,,1.50,Minute
AGR Turnkey,5000700,No,Galveston Shorebase,2-Way Radio, Marine Mobile,4043050000000,MMR 4006,0000-00-00,,9.00,Day
Alien Marketing,5000424,Yes,Office Suite 311,VSAT Terminal Standard,4013050000000,,0000-00-00,,0.00,
AMC Liftboats,5002265,No,LB Mr. Alan,Phone Number, Houma,4045050000050,985-772-8546-FAX,2011-05-23,,,
AMC Liftboats,5002265,No,LB Mr. Alan,Phone Number, Houma,4045050000050,985-772-8528,2011-05-23,,,
AMC Liftboats,5002265,No,LB Mr. Alan,Phone Number, Houma,4045050000050,985-772-8527,2011-05-03,,0.00,
AMC Liftboats,5002265,No,LB Mr. Alan,Space Segment 256/128,4013050000000,,2011-05-23,,2650.00,month
AMC Liftboats,5002265,No,LB Mr. Alan,VSAT Terminal Standard,4013050000000,5009,2011-05-23,,0.00,
AMC Liftboats,5002265,No,LB Mr. Alan,VSAT Dish, KVH V7,4043050000000,,2011-05-23,,0.00,
AMC Liftboats,5002192,No,LB Whitney,Phone Number, Houma-TM,4045055000050,985-603-0076 - FAX,2011-04-12,,,
AMC Liftboats,5002192,No,LB Whitney,Phone Number, Houma-TM,4045055000050,985-746-4455,2011-04-12,,,
AMC Liftboats,5002192,No,LB Whitney,Phone Number, Houma-TM,4045055000050,985-746-4456,2011-04-12,,,
AMC Liftboats,5002192,No,LB Whitney,VSAT Terminal Standard-TM,4013055000000,5002,2011-04-12,,0.00,
AMC Liftboats,5002192,No,LB Whitney,VSAT Dish, KVH V7-TM,4043055000000,,2011-04-12,,0.00,Day
AMC Liftboats,5002192,No,LB Whitney,Space Segment 256/128,4013050000000,36 month term,2011-04-12,,2650.00,Month
